Place ID,店舗名,住所,緯度,経度,評価,レビュー数,営業状況,営業時間,電話番号,ウェブサイト,価格帯,店舗タイプ,店舗説明,テイクアウト,デリバリー,店内飲食,朝食提供,昼食提供,夕食提供,地区,取得方法,更新日時
ChIJ5yhd5IlD818RfYgU8KuzWVg,平根崎駐車場,日本、〒952-2131 新潟県佐渡市戸中 平根崎,38.1215569,138.2720549,3,2,閉店,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:40
ChIJ0_JiZHJP818RYOA7zmar8SE,平松駐車場,日本、〒952-3116 新潟県佐渡市北松ケ崎,38.183979199999996,138.4770783,3.5,4,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3.5（4件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:41
ChIJ1-3zpa9H818RVgEkfCjyBZk,北田野浦駐車場,日本、〒952-2213 新潟県佐渡市北田野浦,38.203384899999996,138.35083419999998,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:43
ChIJ1RA041pc818R0RG8PN1PkI4,みなと中央公園駐車場・おんでこドーム駐車場,日本、〒952-0014 新潟県佐渡市両津湊４１,38.0777293,138.44132349999998,3.5,17,営業中,月曜日: 9時30分～18時00分; 火曜日: 9時30分～18時00分; 水曜日: 9時30分～18時00分; 木曜日: 9時30分～18時00分; 金曜日: 9時30分～18時00分; 土曜日: 9時30分～18時00分; 日曜日: 9時30分～18時00分,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3.5（17件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:44:44
ChIJ4-t83r9D818Rep-gut5gCnQ,アオネバ渓谷登山者用駐車場,日本、〒952-0003 新潟県佐渡市梅津２３６４−１,38.1254146,138.3852653,4,1,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:46
ChIJ4zn_xF5j818RKFgJOWQy12o,真野漁港多目的広場駐車場,日本、〒952-0317 新潟県佐渡市豊田,37.9585947,138.3389569,,,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:47
ChIJ5bzN43dd818RCRBk9Qye3ZI,梅津公園駐車場,日本、〒952-0005 新潟県佐渡市梅津,38.094272,138.43394849999999,4,2,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:49
ChIJ5RaUbxpp818RoaridYu2P_k,小川ひまわり畑 駐車場（小川側）,日本、〒952-2136 新潟県佐渡市小川,38.066052,138.24161189999998,4.1,11,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.1（11件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:50
ChIJ5UfVE5hd818R0Edg8uWHZfc,佐渡空港 駐車場,日本、〒952-0021 新潟県佐渡市秋津,38.062577399999995,138.4082467,3,1,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:52
ChIJ5ZxY5EGZ9F8R1H_Nz8zwVJo,松ヶ崎ヒストリーパーク駐車場,日本、〒952-0821 新潟県佐渡市松ケ崎,37.921375999999995,138.4994079,3,1,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:53
