Place ID,店舗名,住所,緯度,経度,評価,レビュー数,営業状況,営業時間,電話番号,ウェブサイト,価格帯,店舗タイプ,店舗説明,テイクアウト,デリバリー,店内飲食,朝食提供,昼食提供,夕食提供,地区,取得方法,更新日時
ChIJGSRiibZd818RZNmTr_4O8Yg,ma_ma,日本、〒952-0028 新潟県佐渡市加茂歌代７１６,38.0904423,138.4193421,4.5,13,営業中,月曜日: 定休日; 火曜日: 定休日; 水曜日: 定休日; 木曜日: 定休日; 金曜日: 定休日; 土曜日: 11時00分～16時00分; 日曜日: 11時00分～16時00分,0259-67-7673,https://www.ma-ma-2019.com/,価格情報なし,"パン・洋菓子店, 飲食店, 店舗, 観光スポット, 施設",パン・洋菓子店です。評価4.5（13件のレビュー）。テイクアウトに対応。佐渡島にあります。,可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:33:43
ChIJvxJLFfRc818Rt820gWV7zXQ,ショッピングプラザ キング 両津店,日本、〒952-0011 新潟県佐渡市両津夷２７０−１,38.085713999999996,138.4339968,3.7,76,営業中,月曜日: 9時00分～19時00分; 火曜日: 9時00分～19時00分; 水曜日: 9時00分～19時00分; 木曜日: 9時00分～19時00分; 金曜日: 9時00分～19時00分; 土曜日: 9時00分～19時00分; 日曜日: 9時00分～19時00分,0259-23-3455,公式サイトなし,価格情報なし,"スーパーマーケット, 飲食店, 観光スポット, 店舗, 施設",スーパーマーケットです。評価3.7（76件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:44
ChIJPclDGfRc818R7OrZevTsw24,中沢仲助商店,日本、〒952-0011 新潟県佐渡市両津夷２９８,38.0854409,138.43293119999998,4.5,14,営業中,月曜日: 8時30分～18時00分; 火曜日: 8時30分～18時00分; 水曜日: 8時30分～18時00分; 木曜日: 8時30分～18時00分; 金曜日: 8時30分～18時00分; 土曜日: 8時30分～17時00分; 日曜日: 定休日,0259-27-2240,公式サイトなし,価格情報なし,"飲食店, 観光スポット, 施設",飲食店です。評価4.5（14件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:46
ChIJUcxGr_Zc818Rwc52Lit2j-A,田中餅店・菓子店,日本、〒952-0011 新潟県佐渡市両津夷２３６−１,38.0854122,138.4317634,4.6,30,営業中,月曜日: 9時00分～16時45分; 火曜日: 9時00分～16時45分; 水曜日: 9時00分～16時45分; 木曜日: 定休日; 金曜日: 9時00分～16時45分; 土曜日: 10時00分～16時00分; 日曜日: 10時00分～16時00分,0259-27-2395,公式サイトなし,価格情報なし,"観光スポット, 店舗, 飲食店, 施設",観光スポットです。評価4.6（30件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:47
ChIJZar-HvRc818R3X4c7BGalKk,ハーティウッズ,日本、〒952-0011 新潟県佐渡市両津夷３００,38.085296,138.432792,4.4,36,営業中,月曜日: 6時00分～19時00分; 火曜日: 6時00分～19時00分; 水曜日: 6時00分～19時00分; 木曜日: 6時00分～19時00分; 金曜日: 6時00分～19時00分; 土曜日: 6時00分～19時00分; 日曜日: 6時00分～19時00分,0259-23-2697,公式サイトなし,価格情報なし,"コンビニエンスストア, 店舗, 飲食店, 観光スポット, 施設",コンビニエンスストアです。評価4.4（36件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:49
ChIJk_shPFxd818Rs3zqqg9GKfM,CHERRY（チェリー）,日本、〒952-0011 新潟県佐渡市両津夷３０２ ナカスケビル,38.0850905,138.4323498,4.5,20,営業中,"月曜日: 11時00分～14時00分, 18時00分～23時00分; 火曜日: 11時00分～14時00分, 18時00分～23時00分; 水曜日: 定休日; 木曜日: 11時00分～14時00分, 18時00分～23時00分; 金曜日: 11時00分～14時00分, 18時00分～23時00分; 土曜日: 11時00分～14時00分, 18時00分～23時00分; 日曜日: 11時00分～14時00分, 18時00分～23時00分",0259-27-7220,https://www.facebook.com/%E3%83%8F%E3%83%B3%E3%83%89%E3%83%A1%E3%82%A4%E3%83%89-cherry-1564332350503809,価格情報なし,"バー, 観光スポット, 施設","バーです。評価4.5（20件のレビュー）。店内飲食, テイクアウトに対応。佐渡島にあります。",可,不可,可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:50
ChIJXxFncPZc818RExokmLrz2UQ,大阪屋 両津店,日本、〒952-0011 新潟県佐渡市両津夷１１,38.0838289,138.4341021,4.3,39,営業中,月曜日: 8時30分～18時30分; 火曜日: 8時30分～18時30分; 水曜日: 8時30分～18時30分; 木曜日: 8時30分～18時30分; 金曜日: 8時30分～18時30分; 土曜日: 8時30分～18時30分; 日曜日: 8時30分～18時30分,0259-27-2423,https://www.niigata-osakaya.com/,普通,"店舗, 飲食店, 観光スポット, 施設",店舗です。評価4.3（39件のレビュー）。価格帯は普通です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:52
ChIJlx05UPZc818R5Qiqs8syi5w,はなしこう,日本、〒952-0011 新潟県佐渡市両津夷２６１−６３,38.083321999999995,138.432473,,,営業中,月曜日: 10時30分～18時00分; 火曜日: 10時30分～18時00分; 水曜日: 10時30分～18時00分; 木曜日: 10時30分～18時00分; 金曜日: 10時00分～18時30分; 土曜日: 10時30分～18時00分; 日曜日: 10時30分～18時00分,0259-27-3828,公式サイトなし,価格情報なし,"カフェ, 飲食店, 観光スポット, 施設",カフェです。店内飲食に対応。佐渡島にあります。,不可,不可,可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:33:53
ChIJMcx9B1xd818RDjQROHV1NU8,佐渡アウトドアベース,日本、〒952-0011 新潟県佐渡市両津夷２７１−１,38.0833723,138.4355875,4.5,110,営業中,月曜日: 9時00分～18時00分; 火曜日: 定休日; 水曜日: 9時00分～18時00分; 木曜日: 9時00分～18時00分; 金曜日: 9時00分～18時00分; 土曜日: 9時00分～18時00分; 日曜日: 9時00分～18時00分,0259-58-8081,https://gotosado.com/outdoorbase/,価格情報なし,"カフェ, 飲食店, 観光スポット, 施設","カフェです。評価4.5（110件のレビュー）。店内飲食, テイクアウトに対応。佐渡島にあります。",可,不可,可,不可,可,可,両津,CID URL検索,2025-08-09 12:33:55
ChIJx2mWQfZc818RhXnKfiSZXGo,トロピカーナ,日本、〒952-0011 新潟県佐渡市両津夷２１１−９,38.0833092,138.4334864,4.5,8,営業中,月曜日: 10時00分～23時00分; 火曜日: 10時00分～23時00分; 水曜日: 10時00分～23時00分; 木曜日: 10時00分～23時00分; 金曜日: 10時00分～23時00分; 土曜日: 10時00分～23時00分; 日曜日: 定休日,0259-27-3586,http://fregate.jp/tropicana.html,価格情報なし,"カフェ, 観光スポット, 飲食店, 施設",カフェです。評価4.5（8件のレビュー）。店内飲食に対応。佐渡島にあります。,不可,不可,可,不可,可,不可,両津,CID URL検索,2025-08-09 12:33:56
