Place ID,店舗名,住所,緯度,経度,評価,レビュー数,営業状況,営業時間,電話番号,ウェブサイト,価格帯,店舗タイプ,店舗説明,テイクアウト,デリバリー,店内飲食,朝食提供,昼食提供,夕食提供,地区,取得方法,更新日時
ChIJSWduTcfLjF8RDgE6nO9Kgn0,二ツ亀海水浴場 公衆トイレ,日本、〒952-3205 新潟県佐渡市鷲崎,38.3303654,138.4860415,3,4,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価3（4件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:47:28
ChIJFeUrYV7LjF8RL5CTN47vO3g,二ツ亀キャンプ場 公衆トイレ,日本、〒952-3205 新潟県佐渡市鷲崎,38.3298365,138.48775419999998,4,1,営業中,,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価4（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:47:29
ChIJLXkKP7E1818RVUyyWY7Rk28,願公民館トイレ,日本、〒952-3203 新潟県佐渡市願２３４,38.3219835,138.4729313,,,営業中,,0259-63-3111,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:47:31
ChIJ0dS2tbE1818RUrkipUj1FHI,大野亀 公衆トイレ,日本、〒952-3203 新潟県佐渡市願,38.320129,138.4661899,3.3,3,営業中,,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価3.3（3件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:47:33
ChIJ5-PWa_1L818RPNn1N1tVuto,北小浦 公衆トイレ,日本、〒952-3207 新潟県佐渡市北小浦,38.2744947,138.50790089999998,3.7,3,営業中,,0259-63-3111,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価3.7（3件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:47:34
ChIJx4PfOwtJ818RLQajMH6SCt0,岩谷口 公衆トイレ,日本、〒952-2201 新潟県佐渡市岩谷口,38.261272,138.4372141,3,2,営業中,,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価3（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:47:36
ChIJN0GXBJRl818RoEPiBvdcvCc,相川公園公衆トイレ,日本、〒952-1511 新潟県佐渡市相川栄町 １９,38.0304218,138.23948959999998,2.5,4,営業中,,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価2.5（4件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:47:37
ChIJH_JE_Sxv818RemkaLgi1lWw,北沢浮遊選鉱場トイレ,日本、〒952-1539 新潟県佐渡市相川北沢町３,38.0367956,138.2404937,2.3,6,営業中,,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。評価2.3（6件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:47:39
ChIJAcdkYQBd818RVrNZq0mgCYk,あいぽーと佐渡 トイレ,日本、〒952-0011 新潟県佐渡市両津夷９５２ 0011,38.0840659,138.4359599,,,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,0259-67-7633,https://www.city.sado.niigata.jp/site/i-port/,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:47:40
ChIJscBg6zZv818RnzzKJUrw2E8,千畳敷公衆トイレ,日本、〒952-1501 新潟県佐渡市下相川,38.0429045,138.2354006,,,営業中,,情報なし,公式サイトなし,価格情報なし,"公衆トイレ, 観光スポット, 施設",公衆トイレです。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:47:41
